trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
67,False,"{'a': 0.7748943618270935, 'e': 0.9868746816628972}",20,0,-12.030610013360576,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
68,False,"{'a': 0.7748218995972245, 'e': 0.986346340902649}",25,0,-72.95103140513262,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
69,False,"{'a': 0.7747522786520289, 'e': 0.9857970386273088}",20,0,-101.05300520203467,"{0: 11, 1: 0, 2: 7, 3: 2, 4: 0}",0
70,False,"{'a': 0.7746853875831412, 'e': 0.9852259683067269}",30,0,-144.36301726793693,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
71,False,"{'a': 0.7746211193505802, 'e': 0.9846322944347244}",20,0,-198.17400487697444,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 4}",0
72,False,"{'a': 0.7745593711114627, 'e': 0.9840151516577974}",20,0,-27.649826232247367,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
73,False,"{'a': 0.7745000440554323, 'e': 0.9833736438921183}",20,0,-77.25020673839833,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
74,False,"{'a': 0.7744430432465422, 'e': 0.9827068434300946}",20,0,-14.298188924133294,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
75,False,"{'a': 0.7743882774713375, 'e': 0.9820137900379085}",20,0,-168.04547525659592,"{0: 11, 1: 0, 2: 4, 3: 3, 4: 2}",0
76,False,"{'a': 0.7743356590928939, 'e': 0.9812934900456454}",25,0,-79.48993704825651,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
77,False,"{'a': 0.77428510391058, 'e': 0.980544915431807}",20,0,-121.4719147215557,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
78,False,"{'a': 0.7742365310253184, 'e': 0.9797670029042146}",20,6,-68.04732823234795,"{0: 7, 1: 2, 2: 3, 3: 2, 4: 0}",1
79,False,"{'a': 0.7741898627101299, 'e': 0.9789586529795318}",20,0,-72.51786144141848,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
80,False,"{'a': 0.7741450242857537, 'e': 0.9781187290638695}",20,0,-89.04821680692199,"{0: 9, 1: 8, 2: 2, 3: 0, 4: 1}",0
81,False,"{'a': 0.7741019440011448, 'e': 0.977246056537196}",30,0,-94.42448690102911,"{0: 24, 1: 0, 2: 4, 3: 0, 4: 2}",0
82,False,"{'a': 0.7740605529186569, 'e': 0.9763394218445388}",25,0,-181.1342694530486,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 3}",0
83,False,"{'a': 0.7740207848037275, 'e': 0.9753975715972606}",30,0,-139.99084701486228,"{0: 18, 1: 4, 2: 6, 3: 0, 4: 2}",0
84,False,"{'a': 0.7739825760188883, 'e': 0.9744192116879923}",30,0,-159.52291493370004,"{0: 21, 1: 2, 2: 3, 3: 1, 4: 3}",0
85,False,"{'a': 0.773945865421932, 'e': 0.9734030064231342}",20,0,-72.2191231457038,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
86,False,"{'a': 0.7739105942680714, 'e': 0.9723475776771768}",20,0,-86.08076319524561,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
87,False,"{'a': 0.7738767061159354, 'e': 0.9712515040734601}",20,0,-103.03644736052567,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
88,False,"{'a': 0.7738441467372508, 'e': 0.9701133201963638}",25,0,-45.159589024613744,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
89,False,"{'a': 0.7738128640300652, 'e': 0.9689315158403325}",30,0,-144.25820652026417,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
90,False,"{'a': 0.7737828079353732, 'e': 0.9677045353015494}",20,0,-145.78681198649446,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
91,False,"{'a': 0.773753930357011, 'e': 0.9664307767185175}",20,0,-85.90548342298507,"{0: 9, 1: 3, 2: 8, 3: 0, 4: 0}",0
92,False,"{'a': 0.7737261850846923, 'e': 0.9651085914682631}",25,0,-86.29460307790355,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
93,False,"{'a': 0.773699527720062, 'e': 0.9637362836253517}",25,0,-95.02100299489557,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
94,False,"{'a': 0.7736739156056496, 'e': 0.9623121094913941}",25,0,-114.89844124836519,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
95,False,"{'a': 0.7736493077566078, 'e': 0.9608342772032357}",20,5,-91.41706406696082,"{0: 9, 1: 1, 2: 2, 3: 2, 4: 1}",1
96,False,"{'a': 0.7736256647951282, 'e': 0.9593009464285335}",20,0,-100.84893808446434,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
97,False,"{'a': 0.7736029488874283, 'e': 0.9577102281579662}",25,0,-241.61361676857874,"{0: 9, 1: 1, 2: 9, 3: 4, 4: 2}",0
98,False,"{'a': 0.7735811236832095, 'e': 0.9560601846038587}",20,0,-52.679854817196095,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
99,False,"{'a': 0.7735601542574888, 'e': 0.9543488292155563}",35,0,-246.6113705791171,"{0: 15, 1: 4, 2: 10, 3: 5, 4: 1}",0
100,False,"{'a': 0.7735400070547112, 'e': 0.9525741268224333}",20,0,-57.05058615374719,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
